iter	Logloss
0	0.6605009796
1	0.6325767475
2	0.6078367168
3	0.5860510353
4	0.5656670534
5	0.5515427671
6	0.5387253165
7	0.5272579131
8	0.512598388
9	0.5026775796
10	0.4927736558
11	0.4864822494
12	0.4776456201
13	0.4717440515
14	0.4628526363
15	0.4563204433
16	0.4501311594
17	0.443698493
18	0.4400480669
19	0.4345715071
20	0.4296340211
21	0.4253016968
22	0.4209158133
23	0.415821904
24	0.4125400887
25	0.4095611239
26	0.4072671332
27	0.4048407644
28	0.4015410695
29	0.3993411818
30	0.3969175161
31	0.3943384765
32	0.3922215594
33	0.3891135401
34	0.386524407
35	0.38347624
36	0.3805610696
37	0.3790315202
38	0.3762497628
39	0.3741804485
40	0.3722446021
41	0.3698373225
42	0.3672941387
43	0.365887621
44	0.3622831819
45	0.3594324417
46	0.3568358952
47	0.354491045
48	0.3529942357
49	0.3515103444
50	0.3486960103
51	0.3476371024
52	0.3460541799
53	0.3440131113
54	0.3421369817
55	0.3404703418
56	0.3387350869
57	0.3380190254
58	0.3361878438
59	0.3333738536
60	0.331863649
61	0.3296401585
62	0.3270967134
63	0.3249363884
64	0.3242533103
65	0.3237050551
66	0.3216753142
67	0.3192972035
68	0.3175965373
69	0.3161264866
70	0.3144648442
71	0.3126506494
72	0.3101594554
73	0.3085146571
74	0.306448822
75	0.3057370919
76	0.3047497525
77	0.3029018172
78	0.3021138976
79	0.3006906256
80	0.2998292325
81	0.2991788768
82	0.297839805
83	0.2964004254
84	0.2953045481
85	0.2944836147
86	0.2929923832
87	0.2917738754
88	0.2911681159
89	0.2893706234
90	0.2874651796
91	0.2865125598
92	0.2854071826
93	0.2846174232
94	0.2834356655
95	0.2816278073
96	0.2804187635
97	0.279082328
98	0.2784294525
99	0.2773772097
