iter	Passed	Remaining
0	155	15354
1	159	7828
2	164	5315
3	167	4027
4	170	3248
5	174	2739
6	178	2370
7	181	2090
8	184	1869
9	188	1694
10	192	1554
11	194	1429
12	197	1318
13	199	1226
14	202	1145
15	205	1076
16	207	1011
17	209	954
18	212	906
19	215	860
20	218	820
21	220	782
22	223	746
23	225	714
24	227	683
25	230	655
26	232	629
27	235	604
28	238	582
29	240	560
30	242	539
31	244	520
32	247	502
33	249	484
34	251	467
35	253	451
36	255	435
37	257	420
38	259	405
39	260	391
40	262	377
41	263	364
42	265	351
43	266	339
44	268	327
45	269	316
46	270	305
47	272	294
48	273	284
49	274	274
50	276	265
51	277	256
52	279	247
53	280	239
54	281	230
55	283	222
56	284	214
57	285	207
58	287	199
59	288	192
60	290	185
61	292	178
62	293	172
63	295	165
64	296	159
65	298	153
66	299	147
67	301	141
68	302	136
69	304	130
70	305	124
71	307	119
72	308	114
73	309	108
74	311	103
75	312	98
76	313	93
77	315	88
78	316	84
79	317	79
80	318	74
81	320	70
82	321	65
83	323	61
84	324	57
85	325	53
86	327	48
87	328	44
88	329	40
89	331	36
90	332	32
91	333	29
92	335	25
93	336	21
94	337	17
95	339	14
96	340	10
97	341	6
98	342	3
99	344	0
